weather_condition,vehicle_type,total_damage_cost
CLOUDY/OVERCAST,OTHER VEHICLE WITH TRAILER,109603.6084732428
RAIN,VAN/MINI-VAN,6748866.0973752718
OTHER,MOTOR DRIVEN CYCLE,3906.3768394310609
OTHER,VAN/MINI-VAN,138032.2758385835
UNKNOWN,OTHER,504421.4417247274
SNOW,PASSENGER,29088730.066099405
CLOUDY/OVERCAST,OTHER,568267.92010392295
SEVERE CROSS WIND GATE,PICKUP,20862.195910101575
OTHER,OTHER VEHICLE WITH TRAILER,10959.639064579947
CLEAR,TRACTOR W/O SEMI-TRAILER,1294668.0040122881
RAIN,FARM EQUIPMENT,8633.2894126007286
UNKNOWN,BUS OVER 15 PASS.,239175.14618701671
RAIN,BUS OVER 15 PASS.,2461430.2062231102
FOG/SMOKE/HAZE,PASSENGER,2238873.93156103
CLOUDY/OVERCAST,BUS UP TO 15 PASS.,46252.866074345897
SNOW,BUS OVER 15 PASS.,749009.57884933939
UNKNOWN,AUTOCYCLE,110796.24747234557
OTHER,PASSENGER,2837653.3453552648
SNOW,TRACTOR W/O SEMI-TRAILER,32427.211388244294
UNKNOWN,SPORT UTILITY VEHICLE,4881291.8213293152
CLEAR,MOTOR DRIVEN CYCLE,581883.3364400384
RAIN,AUTOCYCLE,83522.867423048723
FOG/SMOKE/HAZE,OTHER VEHICLE WITH TRAILER,3662.7365670970562
SLEET/HAIL,PICKUP,22406.998488147306
CLEAR,SNOWMOBILE,2767.8610775978927
FOG/SMOKE/HAZE,UNKNOWN,256991.69145080762
OTHER,OTHER,120560.32234284579
CLOUDY/OVERCAST,FARM EQUIPMENT,4906.2366512093931
RAIN,TRACTOR W/O SEMI-TRAILER,156698.64946910611
CLEAR,AUTOCYCLE,680281.96892016218
OTHER,TRACTOR W/O SEMI-TRAILER,18856.619428272414
FOG/SMOKE/HAZE,VAN/MINI-VAN,280128.91223047726
RAIN,PICKUP,3475730.9762898842
CLOUDY/OVERCAST,TRACTOR W/ SEMI-TRAILER,519027.40877951018
